Date,Solar_Radiation,Temperature
20240912,6.0154,22.3
20240913,5.9954,19.37
20240914,6.2926,21.11
20240915,5.305,20.58
20240916,4.44,20.76
20240917,4.1491,21.02
20240918,6.1534,18.24
20240919,6.089,19.02
20240920,4.8559,21.64
20240921,5.4408,14.57
20240922,4.1465,10.79
20240923,5.7293,17.6
20240924,5.6045,17.38
20240925,5.8274,20.11
20240926,5.4451,22.98
20240927,5.491,20.26
20240928,5.5826,21.47
20240929,5.353,23.12
20240930,5.2752,20.06
20241001,5.497,15.95
20241002,5.4029,20.6
20241003,5.244,15.68
20241004,5.3179,17.88
20241005,5.1612,20.21
20241006,5.1233,16.42
20241007,5.1317,17.73
20241008,4.325,18.59
20241009,4.3898,18.55
20241010,4.5758,19.79
20241011,3.51,15.92
20241012,4.4059,18.6
20241013,4.4546,14.31
20241014,4.5276,17.53
20241015,4.4182,15.45
20241016,4.2773,16.76
20241017,2.5838,15.44
20241018,2.7024,8.19
20241019,3.773,8.97
20241020,3.7922,13.55
20241021,2.7022,11.68
20241022,4.2396,13.97
20241023,4.0414,14.07
20241024,3.449,12.41
20241025,3.9614,10.24
20241026,3.9274,13.86
20241027,2.7917,15.04
20241028,2.1626,15.76
20241029,2.7881,9.55
20241030,1.8478,2.0
20241031,2.8255,4.52
20241101,3.6998,6.4
20241102,3.8004,8.57
20241103,2.6539,6.48
20241104,2.5166,1.55
20241105,2.8711,1.82
20241106,1.6476,-3.23
20241107,1.7645,-2.46
20241108,0.7457,-1.51
20241109,1.2545,0.76
20241110,3.4858,5.8
20241111,3.4212,7.25
20241112,3.031,6.37
20241113,3.4507,3.39
20241114,3.4248,6.05
20241115,2.7482,6.18
20241116,3.0319,4.32
20241117,3.2983,2.82
20241118,2.6426,3.43
20241119,3.0557,-2.29
20241120,3.2174,0.83
20241121,2.8927,5.37
20241122,2.7478,8.81
20241123,2.1317,9.54
20241124,1.9073,5.88
20241125,3.0557,0.67
20241126,1.4698,3.9
20241127,2.0784,-2.05
20241128,2.9585,-4.35
20241129,2.2231,-1.48
20241130,2.5022,0.48
20241201,2.8896,1.46
20241202,2.8694,2.46
20241203,2.7437,6.06
20241204,2.8298,5.46
20241205,2.833,2.78
20241206,2.7818,4.14
20241207,2.3446,5.66
20241208,1.7477,4.79
20241209,1.3308,-2.82
20241210,2.2985,-2.55
20241211,2.3006,1.1
20241212,2.4571,2.0
20241213,2.3436,1.37
20241214,2.569,4.04
20241215,2.6645,3.07
20241216,2.5548,0.6
20241217,1.8482,1.03
20241218,1.9862,2.25
20241219,2.5498,4.4
20241220,2.4804,5.52
20241221,2.5584,7.1
20241222,0.8978,7.85
20241223,1.8,4.56
20241224,2.4919,3.35
20241225,1.6166,3.11
20241226,1.5398,1.55
20241227,1.717,0.88
20241228,1.5979,2.3
20241229,2.2877,4.24
20241230,2.4238,0.62
20241231,2.0033,-4.46
20250101,1.223,-2.2
20250102,2.4864,-0.2
20250103,2.5759,1.71
