system_id,timestamp_utc,lat,lon,num_panels,panel_area_m2,panel_efficiency,inverter_efficiency,tilt_deg,azimuth_deg,inverter_max_ac_kw,ghi_w_m2,temperature_C,poa_w_m2,system_capacity_kw,pvwatts_pred_kwh,your_baseline_kwh,measured_ac_kwh,hour_of_day,day_of_year
sys_1,2025-09-04T08:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,329.21,16.36,285.1,0.948,0.2631,0.2526,0.2488,8,247
sys_1,2025-09-04T09:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,273.54,17.24,236.9,0.948,0.2186,0.2099,0.2192,9,247
sys_1,2025-09-04T10:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,335.08,14.4,290.19,0.948,0.2678,0.2571,0.2479,10,247
sys_1,2025-09-04T11:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,379.57,13.86,328.72,0.948,0.3033,0.2912,0.2747,11,247
sys_1,2025-09-04T12:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,378.38,13.28,327.68,0.948,0.3024,0.2903,0.289,12,247
sys_1,2025-09-04T13:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,330.96,13.78,286.62,0.948,0.2645,0.2539,0.253,13,247
sys_1,2025-09-04T14:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,329.33,10.24,285.21,0.948,0.2632,0.2527,0.2403,14,247
sys_1,2025-09-04T15:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,317.47,10.65,274.93,0.948,0.2537,0.2436,0.2336,15,247
sys_1,2025-09-04T16:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,282.32,9.62,244.49,0.948,0.2256,0.2166,0.1953,16,247
sys_1,2025-09-04T17:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,265.26,8.76,229.73,0.948,0.212,0.2035,0.2178,17,247
sys_1,2025-09-04T18:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,291.0,8.1,252.01,0.948,0.2326,0.2233,0.2178,18,247
sys_1,2025-09-04T19:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,205.26,9.91,177.76,0.948,0.164,0.1575,0.0,19,247
sys_1,2025-09-04T20:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,97.01,9.02,84.01,0.948,0.0775,0.0744,0.0698,20,247
sys_1,2025-09-04T21:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,111.15,9.62,96.26,0.948,0.0888,0.0853,0.076,21,247
sys_1,2025-09-04T22:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,90.89,7.82,78.72,0.948,0.0726,0.0697,0.0673,22,247
sys_1,2025-09-04T23:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,120.02,12.26,103.94,0.948,0.0959,0.0921,0.0869,23,247
sys_1,2025-09-05T00:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,10.19,12.76,8.83,0.948,0.0081,0.0078,0.008,0,248
sys_1,2025-09-05T01:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,68.36,12.86,59.2,0.948,0.0546,0.0524,0.0557,1,248
sys_1,2025-09-05T02:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,64.41,15.39,55.78,0.948,0.0515,0.0494,0.0472,2,248
sys_1,2025-09-05T03:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,117.3,18.87,101.59,0.948,0.0937,0.09,0.0886,3,248
sys_1,2025-09-05T04:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,194.94,15.27,168.82,0.948,0.1558,0.1496,0.1352,4,248
sys_1,2025-09-05T05:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,260.13,17.02,225.28,0.948,0.2079,0.1996,0.1798,5,248
sys_1,2025-09-05T06:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,237.44,18.61,205.63,0.948,0.1898,0.1822,0.183,6,248
sys_1,2025-09-05T07:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,317.62,17.12,275.07,0.948,0.2538,0.2437,0.2441,7,248
sys_1,2025-09-05T08:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,260.71,18.89,225.78,0.948,0.2083,0.2,0.1988,8,248
sys_1,2025-09-05T09:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,333.12,17.24,288.49,0.948,0.2662,0.2556,0.2576,9,248
sys_1,2025-09-05T10:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,345.76,16.54,299.43,0.948,0.2763,0.2653,0.0,10,248
sys_1,2025-09-05T11:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,326.49,14.33,282.75,0.948,0.2609,0.2505,0.2334,11,248
sys_1,2025-09-05T12:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,372.96,11.34,322.99,0.948,0.2981,0.2861,0.2912,12,248
sys_1,2025-09-05T13:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,323.3,12.12,279.99,0.948,0.2584,0.248,0.2564,13,248
sys_1,2025-09-05T14:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,297.87,9.12,257.97,0.948,0.238,0.2285,0.218,14,248
sys_1,2025-09-05T15:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,334.45,11.05,289.64,0.948,0.2673,0.2566,0.2585,15,248
sys_1,2025-09-05T16:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,261.72,8.39,226.66,0.948,0.2092,0.2008,0.1891,16,248
sys_1,2025-09-05T17:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,292.88,7.76,253.64,0.948,0.2341,0.2247,0.2374,17,248
sys_1,2025-09-05T18:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,234.57,8.94,203.14,0.948,0.1875,0.18,0.1703,18,248
sys_1,2025-09-05T19:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,239.32,9.01,207.26,0.948,0.1913,0.1836,0.1837,19,248
sys_1,2025-09-05T20:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,182.39,7.23,157.96,0.948,0.1458,0.1399,0.1432,20,248
sys_1,2025-09-05T21:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,100.0,10.55,86.61,0.948,0.0799,0.0767,0.0807,21,248
sys_1,2025-09-05T22:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,117.98,9.37,102.17,0.948,0.0943,0.0905,0.0934,22,248
sys_1,2025-09-05T23:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,161.39,13.48,139.77,0.948,0.129,0.1238,0.1307,23,248
sys_1,2025-09-06T00:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,0.0,10.46,0.0,0.948,0.0,0.0,0.0,0,249
sys_1,2025-09-06T01:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,47.96,11.33,41.53,0.948,0.0383,0.0368,0.037,1,249
sys_1,2025-09-06T02:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,63.43,14.71,54.93,0.948,0.0507,0.0487,0.0459,2,249
sys_1,2025-09-06T03:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,153.79,19.83,133.19,0.948,0.1229,0.118,0.1282,3,249
sys_1,2025-09-06T04:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,174.76,17.71,151.34,0.948,0.1397,0.1341,0.1247,4,249
sys_1,2025-09-06T05:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,237.79,16.39,205.93,0.948,0.19,0.1824,0.1894,5,249
sys_1,2025-09-06T06:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,256.04,15.3,221.73,0.948,0.2046,0.1964,0.1829,6,249
sys_1,2025-09-06T07:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,304.1,18.11,263.36,0.948,0.243,0.2333,0.2507,7,249
sys_1,2025-09-06T08:00:00,-28.0018,-9.7803,14,2.078,0.163,0.973,30,170,7.0,279.98,15.13,242.47,0.948,0.2237,0.2148,0.2199,8,249
